"Centro, Florianópolis, SC, Brazil","Lagoa da Conceição, Florianópolis, SC, Brazil",27 mins,2024-09-05 16:38:32.765684
"Centro, Florianópolis, SC, Brazil","Lagoa da Conceição, Florianópolis, SC, Brazil",29 mins,2024-09-05 16:50:05.904820
"Centro, Florianópolis, SC, Brazil","Lagoa da Conceição, Florianópolis, SC, Brazil",27 mins,2024-09-05 16:54:37.414765
